county_fips,lat,lon,weight
29069,36.4,-90.0,0.060667679450966044
29069,36.3,-90.1,0.023216510069000964
29069,36.3,-90.0,0.0623803005788892
29069,36.2,-90.2,0.028172733040309334
29069,36.2,-90.1,0.06638285267018752
29069,36.2,-90.0,0.06308736792550765
29069,36.1,-90.3,0.03257882900747162
29069,36.1,-90.2,0.0688235966247603
29069,36.1,-90.1,0.0704922152174723
29069,36.1,-90.0,0.06382450643288047
29069,36.0,-90.4,0.0033077048088619057
29069,36.0,-90.3,0.037307183922431694
29069,36.0,-90.2,0.03734953994189585
29069,36.0,-90.1,0.036671066355386826
29069,36.0,-90.0,0.03281940689486966
29129,40.6,-93.8,0.005389293397345661
29129,40.6,-93.7,0.02224205337907701
29129,40.6,-93.6,0.02348752121254761
29129,40.6,-93.5,0.024149909364350373
29129,40.6,-93.4,0.0180808749142944
29129,40.5,-93.8,0.01782032681564114
29129,40.5,-93.7,0.07985667167314368
29129,40.5,-93.6,0.07985667167314399
29129,40.5,-93.5,0.07985667167314667
29129,40.5,-93.4,0.061302856726662
29129,40.4,-93.8,0.011334209032554183
29129,40.4,-93.7,0.07997373797009706
29129,40.4,-93.6,0.07997373797009405
29129,40.4,-93.5,0.07997373797009312
29129,40.4,-93.4,0.06636338486735464
29129,40.3,-93.8,0.009275405702104705
29129,40.3,-93.7,0.06890588413161229
29129,40.3,-93.6,0.06833142468274149
29129,40.3,-93.5,0.06802707687827131
29129,40.3,-93.4,0.0557985499657247
29031,37.6,-89.9,0.003584390713159598
29031,37.6,-89.8,0.030009286828430036
29031,37.6,-89.7,0.028583892230570736
29031,37.6,-89.6,0.023050988574975676
29031,37.6,-89.5,0.003359277661453451
29031,37.5,-89.9,0.007724807208618874
29031,37.5,-89.8,0.06462619378958057
29031,37.5,-89.7,0.06462619378957829
29031,37.5,-89.6,0.0646261937895787
29031,37.5,-89.5,0.03722407566751854
29031,37.4,-89.9,0.008083194422677794
29031,37.4,-89.8,0.06471118160046474
29031,37.4,-89.7,0.06471118160046385
29031,37.4,-89.6,0.0647111816004661
29031,37.4,-89.5,0.06470837416388903
29031,37.4,-89.4,0.013318878849228192
29031,37.3,-89.9,0.008214735088846015
29031,37.3,-89.8,0.06479596982275489
29031,37.3,-89.7,0.06479596982275458
29031,37.3,-89.6,0.06479596982275287
29031,37.3,-89.5,0.032971426083485376
29031,37.3,-89.4,0.0008227652493430793
29031,37.2,-89.9,0.010084134931729619
29031,37.2,-89.8,0.06488055823049763
29031,37.2,-89.7,0.048120779640929534
29031,37.2,-89.6,0.012310512947362922
29031,37.2,-89.5,0.0015402719529962491
29031,37.1,-89.9,0.0025608689059780044
29031,37.1,-89.8,0.014727806879150526
29031,37.1,-89.7,0.0017189381307644485
27167,46.6,-96.8,0.004669419825630909
27167,46.6,-96.7,0.03489231985366082
27167,46.6,-96.6,0.03525966444119692
27167,46.6,-96.5,0.03527783032595899
27167,46.6,-96.4,0.0353424022475375
27167,46.6,-96.3,0.024346809579574028
27167,46.5,-96.8,5.540400996564853e-07
